,href,location,money,rate,days,tags,rewards_num,upd,comm,supp
0,https://www.crowdfunder.co.uk/free-assange,"London, Greater London, United Kingdom",300000,0.61,null,"['Community', 'Personal Causes']",0,22,1242,3576
1,https://www.crowdfunder.co.uk/blackout2023,"London, Greater London, United Kingdom",100000,0.84,null,"['Business', 'Music']",0,0,9,24
2,https://www.crowdfunder.co.uk/50-days-to-make-a-difference,"London, Greater London, United Kingdom",150000,0.55,null,['Environment'],3,0,11,68
3,https://www.crowdfunder.co.uk/saveside,"Newcastle upon Tyne, Tyne and Wear, United Kingdom",75000,1.04,null,['Creative & Arts'],0,5,694,1806
4,https://www.crowdfunder.co.uk/lets-smash-the-political-silence-on-brexit,"London, Greater London, United Kingdom",100000,0.6,null,['Politics'],6,1,407,2391
5,https://www.crowdfunder.co.uk/save-sutton-community-farm,"Wallington, Greater London, United Kingdom",80000,1.06,null,"['Food and Drink', 'Community']",31,5,425,916
6,https://www.crowdfunder.co.uk/new-golf-gym---llantrisant-and-pontyclun-juniors,"Pontyclun, Rhondda Cynon Taff, United Kingdom",null,null,null,"['Community', 'Sports']",5,2,44,117
7,https://www.crowdfunder.co.uk/the-destiny-campus-community-project-2,"Southampton, England, United Kingdom",null,null,null,"['Community', 'Business']",0,0,66,160
8,https://www.crowdfunder.co.uk/together-through-tough-times,"Blackburn, England, United Kingdom",65000,1.77,null,['Community'],5,0,22,121
9,https://www.crowdfunder.co.uk/food-9,"London, England, United Kingdom",50000,4.87,null,"['Food and Drink', 'Social Enterprise']",0,0,58,101
10,https://www.crowdfunder.co.uk/csaa-food-bank,"London, England, United Kingdom",null,null,null,"['Food and Drink', 'Community']",0,0,38,231
11,https://www.crowdfunder.co.uk/crowdfunder-cost-of-living-emergency-fund,null,null,null,null,"['Community', 'Charities']",0,5,60,735
12,https://www.crowdfunder.co.uk/the87press2023,"Sutton, , United Kingdom",null,null,null,"['Creative & Arts', 'Retail']",8,0,7,54
13,https://www.crowdfunder.co.uk/stop-racist-hate-dividing-our-communities,United Kingdom,50000,0.36,null,['Community'],0,1,32,367
14,https://www.crowdfunder.co.uk/kitchen-therapy-east-kent,"Margate, Kent, United Kingdom",18104,null,39,"['Community', 'Creative & Arts']",1,0,44,114
15,https://www.crowdfunder.co.uk/ocean-plastic-pots---invest-in-recycling-equipment,"Glasgow, , United Kingdom",18453,null,32,"['Creative & Arts', 'Environment']",14,0,183,414
16,https://www.crowdfunder.co.uk/long-eaton-cricket-club-new-facilities,"Nottingham, Derbyshire, United Kingdom",100000,0.18,null,"['Community', 'Sports']",6,0,14,59
17,https://www.crowdfunder.co.uk/bridgwater-cf23,"Bridgwater, Somerset, United Kingdom",19172,null,49,['Sports'],32,3,43,135
18,https://www.crowdfunder.co.uk/hwb-y-gors-1,"Ammanford, Cymru, United Kingdom",30000,0.6,null,"['Community', 'Environment']",15,0,47,88
19,https://www.crowdfunder.co.uk/wizard-works-x-fairlight-cyclone-relief,"London, Greater London, United Kingdom",18935,null,14,['Sports'],4,1,230,1482
20,https://www.crowdfunder.co.uk/church-broughton-tennis-club-clubhouse-appeal,"Derby, Derbyshire, United Kingdom",20000,0.87,null,"['Community', 'Sports']",35,3,31,123
21,https://www.crowdfunder.co.uk/brass-blast,null,null,null,null,"['Creative & Arts', 'Music']",5,1,73,161
22,https://www.crowdfunder.co.uk/tbf-pantry,"Glasgow, Scotland, United Kingdom",20000,0.87,null,"['Social Enterprise', 'Community']",7,1,56,133
23,https://www.crowdfunder.co.uk/re-open-p-franco,"London, Greater London, United Kingdom",30000,0.58,null,"['Food and Drink', 'Community']",1,2,97,284
24,https://www.crowdfunder.co.uk/operation-nets,"Corby, Northamptonshire, United Kingdom",20000,0.85,null,"['Community', 'Sports']",72,4,32,150
25,https://www.crowdfunder.co.uk/stockton-hockey-club-ground-improvement-2,null,null,null,null,"['Community', 'Sports']",45,4,113,168
26,https://www.crowdfunder.co.uk/spirit-ridge,"Eyemouth, Scottish Borders, United Kingdom",17085,null,32,"['Creative & Arts', 'Music']",14,7,59,120
27,https://www.crowdfunder.co.uk/neston-club---renovation-of-old-pavilion-2023,"Neston, Cheshire West and Chester, United Kingdom",29000,0.56,null,"['Community', 'Sports']",23,0,31,113
28,https://www.crowdfunder.co.uk/thelink,"Ashbourne, Derbyshire, United Kingdom",50000,0.32,null,"['Community', 'Music']",0,1,19,49
29,https://www.crowdfunder.co.uk/wigtonclubhub,"Wigton, Cumbria, United Kingdom",null,null,null,"['Community', 'Sports']",27,6,34,145
30,https://www.crowdfunder.co.uk/perivale-taproom-transformation,"Greenford, Greater London, United Kingdom",16678,null,28,"['Food and Drink', 'Community']",10,4,126,244
31,https://www.crowdfunder.co.uk/help-us-save-scotts-sustainable-woodland,"Swansea, United Kingdom",75000,0.2,null,"['Personal Causes', 'Community']",3,1,63,120
