,href,title,description
0,https://www.crowdfunder.co.uk/free-assange,Help campaign to Free Julian Assange,Help campaign to Free Julian Assange and Stop the Extradition to the United States. Julian's life and your rights are at stake!
1,https://www.crowdfunder.co.uk/blackout2023,Black Out 2023 | Cannes Lions Festival,Taking Black talent connected to the creative industry or interested in it to the Cannes Lions International Festival of Creativity.
2,https://www.crowdfunder.co.uk/50-days-to-make-a-difference,50 Days to Make a Difference,Our scientists curate a portfolio of effective climate charities. They're asking everyone to donate in the 50 days before Earth Day.
3,https://www.crowdfunder.co.uk/saveside,#SAVESIDE,"As of 9th April 2023, Side Gallery will close to the public due to critical funding cuts and the cost of living crisis. Help us #SaveSide"
4,https://www.crowdfunder.co.uk/lets-smash-the-political-silence-on-brexit,Let's smash the political silence on Brexit,"Everyone knows Brexit isn't working, but politicians won't face up to reality. This has to change. Chip in to make it happen."
5,https://www.crowdfunder.co.uk/save-sutton-community-farm,Save Sutton Community Farm,Donate to Sutton Community Farm's Crowdfunder to support a positive future for all! #SaveSuttonCommunityFarm
6,https://www.crowdfunder.co.uk/new-golf-gym---llantrisant-and-pontyclun-juniors,New Golf Gym - Llantrisant and Pontyclun juniors,We want to create an inclusive new gym and locker room to help our junior section expand and thrive!
7,https://www.crowdfunder.co.uk/the-destiny-campus-community-project-2,The Destiny Campus Community Project,Serving our community with love; bridging poverty and discrimination gaps. Improving financial and physical wellbeing in the midst of crisis
8,https://www.crowdfunder.co.uk/together-through-tough-times,TOGETHER THROUGH TOUGH TIMES,"Develop practical, inclusive & accessible ideas to reduce household expenditure whilst developing skills to manage budgets and avoid debt."
9,https://www.crowdfunder.co.uk/food-9,Eat More for Less,"Helping families make budget friendly choices with their weekly groceries; helping them buy healthful, low cost item each week."
10,https://www.crowdfunder.co.uk/csaa-food-bank,# Stop Hunger! Food and Support For People in Need,We are raising money to provide a food parcels and practical support to families suffering from poverty
11,https://www.crowdfunder.co.uk/crowdfunder-cost-of-living-emergency-fund,Cost Of Living Emergency Fund,Millions of UK households are facing rising living costs. Donate now to help those in need.
