,href,title,description,location,tags,upd,comm,supp,rewards_num,money,rate,days,status
0,https://www.crowdfunder.co.uk/free-assange,Help campaign to Free Julian Assange,Help campaign to Free Julian Assange and Stop the Extradition to the United States. Julian's life and your rights are at stake!,"London, Greater London, United Kingdom","['Community', 'Personal Causes']",22,1242,3576,0,300000,0.61,null,funding
1,https://www.crowdfunder.co.uk/blackout2023,Black Out 2023 | Cannes Lions Festival,Taking Black talent connected to the creative industry or interested in it to the Cannes Lions International Festival of Creativity.,"London, Greater London, United Kingdom","['Business', 'Music']",0,9,24,0,100000,0.84,null,funding
2,https://www.crowdfunder.co.uk/50-days-to-make-a-difference,50 Days to Make a Difference,Our scientists curate a portfolio of effective climate charities. They're asking everyone to donate in the 50 days before Earth Day.,"London, Greater London, United Kingdom",['Environment'],0,11,68,3,150000,0.55,null,funding
3,https://www.crowdfunder.co.uk/saveside,#SAVESIDE,"As of 9th April 2023, Side Gallery will close to the public due to critical funding cuts and the cost of living crisis. Help us #SaveSide","Newcastle upon Tyne, Tyne and Wear, United Kingdom",['Creative & Arts'],5,694,1806,0,75000,1.04,null,funding
4,https://www.crowdfunder.co.uk/lets-smash-the-political-silence-on-brexit,Let's smash the political silence on Brexit,"Everyone knows Brexit isn't working, but politicians won't face up to reality. This has to change. Chip in to make it happen.","London, Greater London, United Kingdom",['Politics'],1,407,2391,6,100000,0.6,null,funding
5,https://www.crowdfunder.co.uk/save-sutton-community-farm,Save Sutton Community Farm,Donate to Sutton Community Farm's Crowdfunder to support a positive future for all! #SaveSuttonCommunityFarm,"Wallington, Greater London, United Kingdom","['Food and Drink', 'Community']",5,425,916,31,80000,1.06,null,funding
6,https://www.crowdfunder.co.uk/new-golf-gym---llantrisant-and-pontyclun-juniors,New Golf Gym - Llantrisant and Pontyclun juniors,We want to create an inclusive new gym and locker room to help our junior section expand and thrive!,"Pontyclun, Rhondda Cynon Taff, United Kingdom","['Community', 'Sports']",2,44,117,5,null,null,null,funding
7,https://www.crowdfunder.co.uk/the-destiny-campus-community-project-2,The Destiny Campus Community Project,Serving our community with love; bridging poverty and discrimination gaps. Improving financial and physical wellbeing in the midst of crisis,"Southampton, England, United Kingdom","['Community', 'Business']",0,66,160,0,null,null,null,funding
8,https://www.crowdfunder.co.uk/together-through-tough-times,TOGETHER THROUGH TOUGH TIMES,"Develop practical, inclusive & accessible ideas to reduce household expenditure whilst developing skills to manage budgets and avoid debt.","Blackburn, England, United Kingdom",['Community'],0,22,121,5,65000,1.77,null,funding
9,https://www.crowdfunder.co.uk/food-9,Eat More for Less,"Helping families make budget friendly choices with their weekly groceries; helping them buy healthful, low cost item each week.","London, England, United Kingdom","['Food and Drink', 'Social Enterprise']",0,58,101,0,50000,4.87,null,funding
10,https://www.crowdfunder.co.uk/csaa-food-bank,# Stop Hunger! Food and Support For People in Need,We are raising money to provide a food parcels and practical support to families suffering from poverty,"London, England, United Kingdom","['Food and Drink', 'Community']",0,38,231,0,null,null,null,funding
11,https://www.crowdfunder.co.uk/crowdfunder-cost-of-living-emergency-fund,Cost Of Living Emergency Fund,Millions of UK households are facing rising living costs. Donate now to help those in need.,null,"['Community', 'Charities']",5,60,735,0,null,null,null,funding
12,https://www.crowdfunder.co.uk/the87press2023,the87press 2023 Book Subscription Crowdfund,At the87press we are offering book subscriptions and bundles for our next cycle of publications (Autumn 2023–Spring 2024).,"Sutton, , United Kingdom","['Creative & Arts', 'Retail']",0,7,54,8,null,null,null,funding
13,https://www.crowdfunder.co.uk/stop-racist-hate-dividing-our-communities,Stop racist hate dividing our communities,"The far right are stoking hate against refugees, asylum seekers and migrants. We need your help to counter these racist messages.",United Kingdom,['Community'],1,32,367,0,50000,0.36,null,funding
14,https://www.crowdfunder.co.uk/kitchen-therapy-east-kent,Kitchen Therapy East Kent,To change a space: Expand our Community Deli and create a Children's Cookery School with an Arts & Nature-Based Activity Centre,"Margate, Kent, United Kingdom","['Community', 'Creative & Arts']",0,44,114,1,18104,null,39,funding
15,https://www.crowdfunder.co.uk/ocean-plastic-pots---invest-in-recycling-equipment,Recycling Equipment for Beach Plastic,We manufacture plant pots from rope and fishing net collected from Scottish beaches.... now we want to recycle the hard plastics as well.,"Glasgow, , United Kingdom","['Creative & Arts', 'Environment']",0,183,414,14,18453,null,32,funding
16,https://www.crowdfunder.co.uk/long-eaton-cricket-club-new-facilities,Long Eaton Cricket Club - New Training Facility,"Long Eaton Cricket Club , with your support is trying to raise £100,000 to enhance our existing facilities.","Nottingham, Derbyshire, United Kingdom","['Community', 'Sports']",0,14,59,6,100000,0.18,null,funding
17,https://www.crowdfunder.co.uk/bridgwater-cf23,Bridgwater Cricket Facility Refurbishment,Raise money to complete a much needed refurbishment on our double lane astro nets and improve the safety netting on the Wyndham Park ground,"Bridgwater, Somerset, United Kingdom",['Sports'],3,43,135,32,19172,null,49,funding
18,https://www.crowdfunder.co.uk/hwb-y-gors-1,Hwb y Gors: Net Zero Community Hub,"Transforming the former Cwmgors primary school into a thriving Net Zero hub for arts, education and enterprise – for everyone.","Ammanford, Cymru, United Kingdom","['Community', 'Environment']",0,47,88,15,30000,0.6,null,funding
19,https://www.crowdfunder.co.uk/wizard-works-x-fairlight-cyclone-relief,Wizard Works X Fairlight NZ Cyclone Relief,Win a Fairlight Secan 2.5 Frameset and Wizard Works bags in support of The Hawkes Bay Foundation Cyclone Gabrielle Relief,"London, Greater London, United Kingdom",['Sports'],1,230,1482,4,18935,null,14,funding
20,https://www.crowdfunder.co.uk/church-broughton-tennis-club-clubhouse-appeal,Church Broughton Tennis Club Clubhouse Appeal,"Replace our small, dilapidated, wooden chalet and outdoor Portaloo with a heated, safe, secure clubhouse with toilet facilities","Derby, Derbyshire, United Kingdom","['Community', 'Sports']",3,31,123,35,20000,0.87,null,funding
21,https://www.crowdfunder.co.uk/brass-blast,BRASS BLAST all-welcome youth band!,"Accessible, inclusive and creative music making for young people aged 9-18. Help us continue our programme beyond August 2023!",null,"['Creative & Arts', 'Music']",1,73,161,5,null,null,null,funding
22,https://www.crowdfunder.co.uk/tbf-pantry,TBF Pantry,We are looking to open a non referral food-bank in our store to help those in need,"Glasgow, Scotland, United Kingdom","['Social Enterprise', 'Community']",1,56,133,7,20000,0.87,null,funding
23,https://www.crowdfunder.co.uk/re-open-p-franco,Re-Open P Franco,Re-open the doors of P Franco,"London, Greater London, United Kingdom","['Food and Drink', 'Community']",2,97,284,1,30000,0.58,null,funding
24,https://www.crowdfunder.co.uk/operation-nets,Operation Nets,"We are aiming to raise £20,000 to build state of the art cricket nets.","Corby, Northamptonshire, United Kingdom","['Community', 'Sports']",4,32,150,72,20000,0.85,null,funding
25,https://www.crowdfunder.co.uk/stockton-hockey-club-ground-improvement-2,Stockton hockey club ground improvement,We aim to improve the fencing around Egglescliffe school to protect buildings & neighbours. Also build a covered spectators area.,null,"['Community', 'Sports']",4,113,168,45,null,null,null,funding
26,https://www.crowdfunder.co.uk/spirit-ridge,Spirit Ridge (In The Footsteps Of The Lion Tamer),"Help me record my next album at the atmospheric Crinale Studio near Bologna (Italy), with musician/ producer/ film-maker Antonio Gramentieri","Eyemouth, Scottish Borders, United Kingdom","['Creative & Arts', 'Music']",7,59,120,14,17085,null,32,funding
27,https://www.crowdfunder.co.uk/neston-club---renovation-of-old-pavilion-2023,Neston Club - Renovation of old pavilion 2023,Our aim is to renovate our 100 year old pavilion to become a fantastic dedicated indoor multi sports and social space for all ages,"Neston, Cheshire West and Chester, United Kingdom","['Community', 'Sports']",0,31,113,23,29000,0.56,null,funding
