,href,title,description
0,https://www.crowdfunder.co.uk/unicef,Help UNICEF deliver vital COVID-19 vaccines,"When humanity pulls together, nothing can stop us."
1,https://www.crowdfunder.co.uk/rbs-fundraiser,NatWest Group,RBS partnering with National Emergencies Trust in response to the covid-19 crisis
2,https://www.crowdfunder.co.uk/unicef-aus,Help UNICEF Australia deliver 2 billion vaccines,"With vaccines rolling out across Australia, we're on our way to being protected against COVID-19. We can't stop there. Now the rest of the"
3,https://www.crowdfunder.co.uk/glenwyvis-distillery,GlenWyvis Distillery,"The Worlds first Community owned Scotch Malt Whisky Distillery, 100% powered by Renewable Energy.
Built on history...powered by nature..."
4,https://www.crowdfunder.co.uk/own-our-venues,Own Our Venues,An exciting opportunity for the live music community to own & protect UK Music Venues. Total includes £650k of loans approved in principle.
5,https://www.crowdfunder.co.uk/masks4nhsheroes,Personal Protective Equipment (PPE) for NHS Staff,Donate now to provide Personal Protective Equipment (PPE) to protect healthcare workers
6,https://www.crowdfunder.co.uk/the-glenwyvis-open-share-offer,The GlenWyvis Open Share Offer,Your chance to part-own a Scottish Whisky Distillery!
7,https://www.crowdfunder.co.uk/win-glastonbury-tickets-support-turkey-syria-oxfam,Win Glastonbury Tickets and Support Turkey-Syria,Glastonbury Festival is raising money for the DEC Turkey-Syria Earthquake Appeal with Oxfam.
8,https://www.crowdfunder.co.uk/smallwind,Small Wind Co-op,"Co-own turbines in Wales & Scotland, & use the energy yourself at home. Get interest at 4.5-6.5% & support small farms & ..."
9,https://www.crowdfunder.co.uk/new-internationalist-2017,New Internationalist: Buy into a better story,New Internationalist is running a community share offer. We invite you to become a media pioneer & buy into journalism with facts and...
10,https://www.crowdfunder.co.uk/raasay-community-hydro,Raasay Community Hydro,"RCR is looking to raise £600,000 through community shares to develop two hydro schemes on the Isle of Raasay."
11,https://www.crowdfunder.co.uk/jubileepool,Dive in and heat up Jubilee Pool!,"We're making Britain's coolest pool hotter thanks to geothermal heat from under our feet. We need to raise £850,000 to make it happen!"
12,https://www.crowdfunder.co.uk/ace,Aberdeen Community Energy - Donside Hydro,"ACE are developing Scotland's first urban community hydro, a 100kW Archimedes screw on the banks of the River Don in Tillydrone, Aberdeen."
13,https://www.crowdfunder.co.uk/peoplesenergy,The People's Energy Company,The People's Energy Company will supply Gas and Electricity with 75% of the profits returned to customers.
14,https://www.crowdfunder.co.uk/by-donkeys-1,Let's paste these tweets* all over Britain,This Brexit chaos is founded on the forgotten lies of our leaders. Let’s remind the country of them with giant billboards and more
15,https://www.crowdfunder.co.uk/ballvjohnson,Ball V's Johnson,A crowdfunded private prosecution against Boris Johnson MP for the alleged offence of misconduct in public office. Marcus Ball V Johnson.
16,https://www.crowdfunder.co.uk/southwoldhospital,Southwold Old Hospital Fund Community Share Offer,"This is a unique, game-changing project.  We're using community shares to create a new community life in an old community hospital."
17,https://www.crowdfunder.co.uk/community-channel,Own Community Channel!,We need your help. Pledge now and help us turn Community Channel into the first people-owned national TV channel.
18,https://www.crowdfunder.co.uk/komediabath,KomediaBath,Save Bath from boring!  Become a co-owner of Komedia Bath and keep this important mid-scale venue running for many more years to come.
19,https://www.crowdfunder.co.uk/new-internationalist,New Internationalist: Save our stories,New Internationalist invites you to buy into journalism for a better world. Become one of our co-owners or top up your shares at this page.
20,https://www.crowdfunder.co.uk/wheelsforheroes,The Race - Wheels For Heroes,We’re very fortunate to have been to have been given the opportunity to continue the funding for Wheels For Heroes. Read below for more info
21,https://www.crowdfunder.co.uk/save-the-new-inn-norton-lindsey,"Save The New Inn, Norton Lindsey","Save The New Inn, Norton Lindsey and help make it Warwickshire's first community owned pub.   This is a once in a life-time opportunity!"
22,https://www.crowdfunder.co.uk/bigbathcitybid,Big Bath City Bid,"We need to raise £300,000 to take Bath City FC into community ownership and give Bath the football club it deserves!"
23,https://www.crowdfunder.co.uk/crowdfund-dartmoor-zoo,Crowdfund Dartmoor Zoo,"To secure the future of Dartmoor Zoo as a centre of excellence for conservation, education and research."
24,https://www.crowdfunder.co.uk/the-submariner-memorial-appeal,The Submariner Memorial Appeal,We are going to build a fitting memorial to submariners who have died in service and the sacrifice of their families.
25,https://www.crowdfunder.co.uk/afghanistanappeal,SUPPORT AFGHANISTAN AT THIS CRITICAL MOMENT,Help us support those in Afghanistan that are affected by this rapidly developing emergency.
26,https://www.crowdfunder.co.uk/by-donkeys-3,Let’s make Johnson the shortest serving PM ever*,Chip in to expose Boris Johnson's lies across the country and stop Brexit
27,https://www.crowdfunder.co.uk/by-donkeys-facebook,Let’s counter Boris Johnson’s Facebook ad blitz,At a fraction of the cost we can reach undecided voters with the truth.
28,https://www.crowdfunder.co.uk/active-youth,UK Youth 'Active Youth',"UK Youth are helping more than 2,600 young people from England's most deprived areas make a positive change and get active!"
29,https://www.crowdfunder.co.uk/nudgeshares,34-36 Union Street Share Offer,Invest in Nudge Community Builders and help us bring the Millennium Building in Plymouth back into use!
30,https://www.crowdfunder.co.uk/cadgwith-fishing-cove-trust,Save Our Fishing Buildings in Cadgwith,We aim to purchase the historic fishing buildings to protect them from development and maintain for the local fishermen in perpetuity.
31,https://www.crowdfunder.co.uk/aberdeen-lord-provost-charitable-trust-covid-19,Lord Provost's Charitable Trust,Aberdeen Covid 19 Emergency Appeal.
32,https://www.crowdfunder.co.uk/the-northumberland-arms-community-society-limited,The Northumberland Arms Community Society Limited,The Northumberland Arms  Community Society are aiming to save 'The Thumb' through a community share offer and re-open as a great pub &...
33,https://www.crowdfunder.co.uk/holbrook-community-society,Save The Spotted Cow,We need to save our village pub from developers who wish to partially demolish it and turn the site into housing.
34,https://www.crowdfunder.co.uk/greens2parliament,The time is now to get more Greens to Parliament!,At the next General Election we can only get more Greens in Parliament if we can make your voice heard. The time is now to give Green.
35,https://www.crowdfunder.co.uk/save-the-craufurd,'Save the Craufurd Arms',To buy the freehold of the Craufurd Arms from the Wellington Pub Company Plc in order to preserve the pub for future generations.
36,https://www.crowdfunder.co.uk/more-united-launch,More United,"To give you more influence over politics by making sure a new generation of MPs is elected to fight for a More United, less divided Britain."
37,https://www.crowdfunder.co.uk/puzzlehall,Be a piece of the Puzzle!,"We are a community urgently raising £350,000 to save our iconic, quirky, 400 yr old, much-loved music pub in Sowerby Bridge, West Yorkshire"
38,https://www.crowdfunder.co.uk/govanhill-baths,Govanhill Baths New Health & Wellbeing Centre,Redeveloping Glasgow's iconic Govanhill Baths as a new Health and Wellbeing Centre for Scotland's most diverse community.
39,https://www.crowdfunder.co.uk/bobwillisfund,The Bob Willis Fund - #BlueforBob,Donate today and help us raise crucial funds for research and awareness of Prostate Cancer
40,https://www.crowdfunder.co.uk/positivenews,#OwnTheMedia - Positive News community shares,Positive News is launching a Community Share Offer. This is your chance to become one of our owners and help change the news for good.
41,https://www.crowdfunder.co.uk/earthquake-relief-for-trkiye,Earthquake relief for Türkiye,"To provide relief to the earthquake areas in Turkiye, to provide aid and supplies"
42,https://www.crowdfunder.co.uk/hastings-pier-take-a-stake-in-our-future,Hastings Pier - take a stake in our future,We've converted one the oldest piers into one of the newest & now we would like your help to boost our reserves & our community o...
43,https://www.crowdfunder.co.uk/the-uyghur-tribunal,INVESTIGATE CHINA'S ALLEGED TREATMENT OF UYGHURS,Help Fund the Second Hearings: https://www.crowdfunder.co.uk/fund-the-second-hearings-of-the-uyghur-tribunal
44,https://www.crowdfunder.co.uk/perranporth-community-pool-1,Perranporth Community Pool,Our project is to raise funds so we can convert the old outdoor pool in Perranporth into a new indoor pool powered by renewable energy.
45,https://www.crowdfunder.co.uk/join-the-challenge-against-covid-passes,Join the challenge against COVID passes!,Big Brother Watch is crowdfunding for our campaign and legal challenge to stop divisive & discriminatory COVID passports.
46,https://www.crowdfunder.co.uk/gardenersrest,Gardeners Rest Community Share Offer,"The Gardeners Rest Community Society Ltd invites you to purchase community shares in the Gardeners Rest pub in historic Neepsend, Sheffield."
